,0
178,"Engaging employees is mission critical - but what to do? First, interpreting federal employee survey results need t… https://t.co/1yYQxm9lZq"
179,"Want to learn more about #RecordsManagement, #CyberHygiene or #InfoGov? Then REGISTER and Join #NAGARA at… https://t.co/gz6sQ1jQy8"
180,@BernieSanders Bernie and how much do the employees of these companies pay in federal taxes.  It's always the littl… https://t.co/pC9Tb6ExsT
181,"@WhiteHatGuy @ABC7News All Federal employees out of the building, but the daycare was full? Timothy McVeigh believe… https://t.co/a6PBbrRmDs"
182,"@realDonaldTrump Who am I going to believe your own staff &amp; scores of Republican federal employees, or a guy who ha… https://t.co/nvUu3boHcB"
183,Good News Federal Government Employees!!  Federal pay raise should appear for many by early next week | Federal New… https://t.co/2uXsD8vJS7
184,"@sporty191 nope.  Good Friday is not a federal holiday for us. Some companies do give employees the day off, but not mine"
185,@Allen11Cynthia @ewarren I spent most of my 40-year career implementing environmental programs for industrial clien… https://t.co/id5Pmy3aSO
186,@RepAndreCarson Thought federal employees could only be granted 59 minutes???
187,"""#Federal workers and contractors are expected to shoulder the financial burdens incurred from a #government… https://t.co/8JAjRwViw7"
188,@mitchellvii Trump’s experience was all private sector. The private sector has simple mechanisms to address employe… https://t.co/o5x1dlvkXY
189,@ICJIA_TVPP @khanserai The fact is the people of Waco were unnecessarily disturbed and provoked and then they were… https://t.co/W0DGTIrcwG
190,"Dr. Mary Jean Russell, one of the superb instructors in our MS in Mgmt, spoke with fed employees at a Federal Acade… https://t.co/MRrGsqSiHv"
191,"Today is @roozal's and my fifth wedding anniversary, so we've decided to give federal employees and the stock marke… https://t.co/3MODhZMjVk"
192,With all the commotion Doug Ford is causing in Ontario it’s hard to bring attention to the federal employees who ha… https://t.co/Ax0eyCv3Hs
193,Dear People of Twitter I ask on this day that we all take a Moment of Silence in Remembering the Victims of 4/19/19… https://t.co/iiEylbXpcZ
194,"@molly_knight Federal Employees hoping that Trump's ""good mood"" would prompt him to give Feds the day off on Passov… https://t.co/uyjmpRGT1H"
195,"Today the OKC National Memorial is posting a timeline of events from April 19, 1995, as they happened #WeRemember R… https://t.co/nfdtlug08k"
196,"@lwattsgoingon @RepGregSteube @GOPoversight Well, I never ordered federal employees lie to FBI investigators, so it… https://t.co/ACuVmvOfqV"
197,"@moyshes8 @IzabelaKaramia @FaithNaff @jennycohn1 I know where the sentiment comes from, and I don't doubt the patri… https://t.co/9KqMr6XeZO"
198,"In the following years, Congress added more and more budget restrictions to abortion coverage. At this point, no fe… https://t.co/iMynpXuThf"
199,pre-cellphone phone games to track down every family member. We are members of the federal credit union that was in… https://t.co/bBgESjvKSN
200,"@zakouts84 @senvillivalam Most of the country thinks DC is Congress, a bunch of rich lobbyists, and a few thousand federal employees."
201,One of your employees committed a Federal Crime
202,@JustinTrudeau Can you use that money to prioritize paying your unpaid #phoenixpaysystem Federal employees? It’s be… https://t.co/68Ydu3jADF
203,"@BrKloeckner J'ai eu un cas pareil, j'ai rayé les mots «for US federal employees» qui limitaient «to the extent tra… https://t.co/nkRI1VJxde"
204,Federal Reserve bank of Dallas ownership by CEO president Robert Steve Kaplan master board master of unite state of… https://t.co/wb3WMRBgay
205,"For 60 years Democrats has let us know that it is OK for powerful men to sexually assault women, obstruct justice,… https://t.co/cVQ8yXlsqv"
206,@jimodonnell2 @JeffersonRettig @RealMattCouch HR7 is to eliminate federal funding abortions and is two years old. T… https://t.co/VgKPZJZli9
